JMP        1A00           			A=0x0       	B=0x0       	PC=0x801     
STA        1918  0     2    			A=0x0       	B=0x0       	PC=0x1A01    
VOID       0              			A=0x0       	B=0x0       	PC=0x1A0C    
LDA        0     1A0C  2    			A=0x0       	B=0x0       	PC=0x1A15    
STA        1800  0     2    			A=0x0       	B=0x0       	PC=0x1A20    
LDA        0     1918  2    			A=0x0       	B=0x0       	PC=0x1A2B    
STA        1918  0     2    			A=0x0       	B=0x0       	PC=0x1A36    
VOID       400            			A=0x0       	B=0x0       	PC=0x1A41    
LDA        0     1A41  2    			A=0x400     	B=0x0       	PC=0x1A4A    
STA        1802  0     2    			A=0x400     	B=0x0       	PC=0x1A55    
LDA        0     1918  2    			A=0x0       	B=0x0       	PC=0x1A60    
STA        1918  0     2    			A=0x0       	B=0x0       	PC=0x1A6B    
VOID       800            			A=0x0       	B=0x0       	PC=0x1A76    
LDA        0     1A76  2    			A=0x800     	B=0x0       	PC=0x1A7F    
STA        1804  0     2    			A=0x800     	B=0x0       	PC=0x1A8A    
LDA        0     1918  2    			A=0x0       	B=0x0       	PC=0x1A95    
STA        1918  0     2    			A=0x0       	B=0x0       	PC=0x1AA0    
VOID       C00            			A=0x0       	B=0x0       	PC=0x1AAB    
LDA        0     1AAB  2    			A=0xC00     	B=0x0       	PC=0x1AB4    
STA        1806  0     2    			A=0xC00     	B=0x0       	PC=0x1ABF    
LDA        0     1918  2    			A=0x0       	B=0x0       	PC=0x1ACA    
JMP        1C6C           			A=0x0       	B=0x0       	PC=0x1AD5    
JMP        1F2F           			A=0x0       	B=0x0       	PC=0x1C6D    
VOID       5              			A=0x0       	B=0x0       	PC=0x1F30    
VOID       9              			A=0x0       	B=0x0       	PC=0x1F39    
LDA        0     1F30  8    			A=0x5       	B=0x0       	PC=0x1F42    
SWP                      			A=0x0       	B=0x5       	PC=0x1F4D    
LDA        0     1F39  8    			A=0x9       	B=0x5       	PC=0x1F4E    
SWP                      			A=0x5       	B=0x9       	PC=0x1F59    
STA        1920  0     8    			A=0x5       	B=0x9       	PC=0x1F5A    
VOID       1F8A           			A=0x5       	B=0x9       	PC=0x1F65    
LDA        0     1F65  8    			A=0x1F8A    	B=0x9       	PC=0x1F6E    
VOID       1D92           			A=0x1F8A    	B=0x9       	PC=0x1F79    
JMP        1B94           			A=0x1F8A    	B=0x9       	PC=0x1F82    
SWP                      			A=0x9       	B=0x1F8A    	PC=0x1B95    
STA        1928  0     8    			A=0x9       	B=0x1F8A    	PC=0x1B96    
SWP                      			A=0x1F8A    	B=0x9       	PC=0x1BA1    
VOID       0              			A=0x1F8A    	B=0x9       	PC=0x1BA2    
SWP                      			A=0x9       	B=0x1F8A    	PC=0x1BAB    
LDA        0     1BA2  8    			A=0x0       	B=0x1F8A    	PC=0x1BAC    
LDA        0     1804  2    			A=0x800     	B=0x1F8A    	PC=0x1BB7    
STA        1BCE  0     8    			A=0x800     	B=0x1F8A    	PC=0x1BC2    
SWP                      			A=0x1F8A    	B=0x800     	PC=0x1BCD    
STA        800   0     8    			A=0x1F8A    	B=0x800     	PC=0x1BCE    
STA        1900  0     2    			A=0x1F8A    	B=0x800     	PC=0x1BD9    
SWP                      			A=0x800     	B=0x1F8A    	PC=0x1BE4    
VOID       8              			A=0x800     	B=0x1F8A    	PC=0x1BE5    
SWP                      			A=0x1F8A    	B=0x800     	PC=0x1BEE    
LDA        0     1BE5  8    			A=0x8       	B=0x800     	PC=0x1BEF    
SWP                      			A=0x800     	B=0x8       	PC=0x1BFA    
ADDAB                    			A=0x808     	B=0x8       	PC=0x1BFB    
SWP                      			A=0x8       	B=0x808     	PC=0x1BFC    
LDA        0     1900  2    			A=0x1F8A    	B=0x808     	PC=0x1BFD    
SWP                      			A=0x808     	B=0x1F8A    	PC=0x1C08    
STA        1804  0     2    			A=0x808     	B=0x1F8A    	PC=0x1C09    
VOID       11             			A=0x808     	B=0x1F8A    	PC=0x1C14    
LDA        0     1C14  2    			A=0x11      	B=0x1F8A    	PC=0x1C1D    
SWP                      			A=0x1F8A    	B=0x11      	PC=0x1C28    
SUBAB                    			A=0x1F79    	B=0x11      	PC=0x1C29    
STA        1C37  0     8    			A=0x1F79    	B=0x11      	PC=0x1C2A    
SWP                      			A=0x11      	B=0x1F79    	PC=0x1C35    
LDA        0     1F79  8    			A=0x1D92    	B=0x1F79    	PC=0x1C36    
STA        1C64  0     8    			A=0x1D92    	B=0x1F79    	PC=0x1C41    
LDA        0     1920  8    			A=0x5       	B=0x1F79    	PC=0x1C4C    
SWP                      			A=0x1F79    	B=0x5       	PC=0x1C57    
LDA        0     1928  8    			A=0x9       	B=0x5       	PC=0x1C58    
SWP                      			A=0x5       	B=0x9       	PC=0x1C63    
JMP        1D92           			A=0x5       	B=0x9       	PC=0x1C64    
VOID       0              			A=0x5       	B=0x9       	PC=0x1D93    
VOID       1              			A=0x5       	B=0x9       	PC=0x1D9C    
VOID       0              			A=0x5       	B=0x9       	PC=0x1DA5    
VOID       0              			A=0x5       	B=0x9       	PC=0x1DAE    
VOID       0              			A=0x5       	B=0x9       	PC=0x1DB7    
VOID       0              			A=0x5       	B=0x9       	PC=0x1DC0    
SWP                      			A=0x9       	B=0x5       	PC=0x1DC9    
STA        1DAE  0     8    			A=0x9       	B=0x5       	PC=0x1DCA    
LDA        0     1D93  8    			A=0x0       	B=0x5       	PC=0x1DD5    
STA        1DA5  0     8    			A=0x0       	B=0x5       	PC=0x1DE0    
LDA        0     1DAE  8    			A=0x9       	B=0x5       	PC=0x1DEB    
SWP                      			A=0x5       	B=0x9       	PC=0x1DF6    
STA        1DB7  0     8    			A=0x5       	B=0x9       	PC=0x1DF7    
SWP                      			A=0x9       	B=0x5       	PC=0x1E02    
STA        1DC0  0     8    			A=0x9       	B=0x5       	PC=0x1E03    
SWP                      			A=0x5       	B=0x9       	PC=0x1E0E    
LDA        0     1D9C  8    			A=0x1       	B=0x9       	PC=0x1E0F    
SWP                      			A=0x9       	B=0x1       	PC=0x1E1A    
